,,
Tаблица 1,,
Домашняя работа 1: Часть 1,Запишите в данный столбец окончательный ответ,Запишите в данный столбец ОБЪЯСНЕНИЕ
Ваша фамилия в именительном падеже:,Чан Ван,
Ваше имя в именительном падеже:,Хоанг,
Задайте перечислением множества,,
А - буквы фамилии,"{Ч,А,Н,В}",
В - буквы имени,"{Х,О,А,Н,Г}",
Найдите А ∪ В,"{Ч,А,Н,В,Х,О,Г}",
Найдите А ⋂ В,"{А,Н}",
Найдите А \ В,"{Ч,В}",
Найдите В \ А,"{Х,О,Г}",
Найдите А Δ В,"{Ч,В,Х,О,Г}",
Пусть I = А ∪ В - универсальное множество,,
Найдите ¬ (В \ А),"{А,Н,В,Ч}",
"Верно ли, что А ⊆ В? Объясните",неверно,потому что Ч принадлежит А но Ч не принадлежит В 
Запишите множество P(А ⋂ В),"{{А},{Н}{А,Н},∅} ",
Найдите | P(А ⋂ В) |,4,
Сравните множества А и В по мощности,|A|<|B|,
