Tаблица 1,,
Домашняя работа 1: Часть 2,Запишите в данный столбец окончательный ответ,Запишите в данный столбец ОБЪЯСНЕНИЕ
Задайте перечислением множества,,
Х - множество гласных букв имени,"{о,а}",
У - множество согласных букв фамилии,"{н,г}",
"G - множество пар (x,y)","{(о,н),(о,г),(а,н),(а,г)}",
Запишите область определения соответствия,"D = {о,а}",
Запишите область значений соответствия,"R = {н,г}",
Является ли соответствие всюду определенным?,да,Так как D = X.
Является ли соответствие сюръекцией?,да,Так как R = Y.
Является ли соответствие функцией?,нет,"Так как существуют элементу о множества Х соответствует два элемента н, г множества Y"
Является ли соответствие ИНъекцией?,нет,"Так как существуют (о,г) и (а,г) такие, что x1 ≠ x2."
Является ли соответствие отображением Х в У?,нет,Так как не функции.
Является ли соответствие отображением Х на У ?,нет,Так как не функции.
Является ли соответствие взаимно однозначным?,нет,Так как не функции.
Является ли соответствие БИекцией?,нет,Так как не функции.
